ID,times,control
1,155.378,CNN
2,141.357,CNN
3,27.6315,CNN
4,27.198,CNN
5,28.227,CNN
6,27.6621,CNN
7,29.037,CNN
8,27.796,CNN
9,27.347,CNN
10,27.235,CNN
11,27.7,CNN
12,27.391,CNN
13,27.424,CNN
14,28.686,CNN
15,27.41,CNN
16,28.215,CNN
17,11.358,CNN
18,27.31,CNN
19,26.97,CNN
20,28.923,CNN
21,28.275,CNN
22,29.482,CNN
23,30.865,CNN
24,29.599,CNN
25,29.932,CNN
26,31.008,CNN
27,30.61,CNN
28,30.496,CNN
29,30.529,CNN
30,30.942,CNN
31,28.14,CNN
32,30.149,CNN
33,30.628,CNN
34,30.558,CNN
35,29.165,CNN
36,28.408,CNN
37,28.03,CNN
38,27.919,CNN
39,27.556,CNN
40,28.197,CNN
1,258.62,PID
2,262.46,PID
3,275.75,PID
4,269.58,PID
5,268.49,PID
6,268.44,PID
7,299.91,PID
8,275.55,PID
9,283.19,PID
10,283.85,PID
11,298.63,PID
12,291.22,PID
13,294.26,PID
14,297.29,PID
15,290.58,PID
16,295.73,PID
17,297.33,PID
18,290.6,PID
19,299.6,PID
20,284.01,PID
21,296.65,PID
22,283.97,PID
23,280.87,PID
24,288.41,PID
25,288.22,PID
26,281.01,PID
27,280.48,PID
28,289.66,PID
29,283.37,PID
30,249.46,PID
31,249.97,PID
32,253.25,PID
33,275.67,PID
34,262.47,PID
35,261.98,PID
36,279.2,PID
37,287.05,PID
38,277.89,PID
39,284.74,PID
40,272.94,PID
