ID,times,control
1,155.378,CNN
2,141.357,CNN
3,27.6315,CNN
4,27.198,CNN
5,28.227,CNN
6,27.6621,CNN
7,29.037,CNN
8,27.796,CNN
9,27.347,CNN
10,27.235,CNN
11,27.7,CNN
12,27.391,CNN
13,27.424,CNN
14,28.686,CNN
15,27.41,CNN
16,28.215,CNN
17,11.358,CNN
18,27.31,CNN
19,26.97,CNN
20,28.923,CNN
21,28.275,CNN
22,29.482,CNN
23,30.865,CNN
24,29.599,CNN
25,29.932,CNN
26,31.008,CNN
27,30.61,CNN
28,30.496,CNN
29,30.529,CNN
30,30.942,CNN
31,28.14,CNN
32,30.149,CNN
33,30.628,CNN
34,30.558,CNN
35,29.165,CNN
36,28.408,CNN
37,28.03,CNN
38,27.919,CNN
39,27.556,CNN
40,28.197,CNN
41,258.62,PID
42,262.46,PID
43,275.75,PID
44,269.58,PID
45,268.49,PID
46,268.44,PID
47,299.91,PID
48,275.55,PID
49,283.19,PID
50,283.85,PID
51,298.63,PID
52,291.22,PID
53,294.26,PID
54,297.29,PID
55,290.58,PID
56,295.73,PID
57,297.33,PID
58,290.6,PID
59,299.6,PID
60,284.01,PID
61,296.65,PID
62,283.97,PID
63,280.87,PID
64,288.41,PID
65,288.22,PID
66,281.01,PID
67,280.48,PID
68,289.66,PID
69,283.37,PID
70,249.46,PID
71,249.97,PID
72,253.25,PID
73,275.67,PID
74,262.47,PID
75,261.98,PID
76,279.2,PID
77,287.05,PID
78,277.89,PID
79,284.74,PID
80,272.94,PID
